Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1862,1,1,1,9254,1,1,0,1,1,1,5,4,0,1,0,0,0,1,0,1,0,0,2,3,1,0,0,0,2,3,0,0,0,1,1,2,0
2333,1,1,6,171,1,1,1,1,10,10,4,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3530,1,1,3,9670,1,1,0,1,3,1,2,3,0,1,0,0,1,1,0,0,0,0,2,1,3,2,0,0,2,2,2,3,0,0,1,3,2
1450,1,17,1,9130,1,1,1,1,2,1,4,1,2,0,0,0,1,1,0,0,0,0,2,2,2,1,0,0,2,3,2,1,0,1,1,3,0
2400,4,39,1,8014,0,19,0,1,1,37,9,1,0,0,0,0,1,1,0,3,0,1,3,3,1,1,0,1,3,3,1,1,0,1,1,2,0
717,4,39,1,9670,1,1,2,1,2,1,3,9,3,0,0,1,0,1,0,3,0,0,1,3,1,3,0,0,1,1,0,0,0,2,3,0,0
2675,1,1,1,9254,1,1,1,1,37,37,1,1,0,0,0,0,1,1,0,3,0,0,2,1,2,0,0,0,2,2,1,1,0,1,1,2,1
2543,1,17,1,9070,1,1,0,1,19,1,4,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,3,0
3002,1,1,3,9773,1,1,2,1,3,1,5,3,2,1,0,0,1,0,1,0,0,0,2,1,3,3,0,0,2,2,2,1,0,2,0,2,0
1027,1,1,5,9254,1,1,1,1,19,37,9,9,1,0,0,0,1,0,1,0,0,0,2,2,1,1,0,0,2,1,2,1,0,0,1,3,2
1956,1,1,4,9238,1,1,0,1,19,1,4,5,1,1,1,0,1,0,0,0,0,0,2,2,2,1,0,0,2,2,1,1,0,2,0,2,1
1999,1,51,1,9147,1,1,2,1,19,19,9,7,1,0,0,1,0,0,0,3,0,3,3,3,3,0,0,3,3,3,3,1,0,3,0,1,2
2153,1,42,1,9238,1,1,1,1,1,19,4,9,2,0,0,0,1,0,0,2,0,3,3,3,3,2,0,3,3,3,3,2,0,0,2,1,2
4046,1,1,1,9254,1,1,2,1,19,1,9,8,3,1,0,0,1,0,1,0,0,0,2,2,3,2,0,0,2,3,1,2,0,2,3,0,2
2064,1,17,4,9147,1,1,0,1,38,19,9,9,0,1,0,0,1,0,0,2,0,0,1,1,2,2,0,0,1,1,2,2,0,0,1,3,2
