Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
2589,1,1,4,9853,1,1,2,1,19,1,5,9,2,1,0,0,1,0,0,0,0,0,2,1,2,1,0,0,2,1,2,1,0,1,1,2,1
1071,1,44,1,9238,1,39,2,1,19,19,8,8,3,1,0,0,1,0,1,0,0,2,2,1,2,2,0,1,2,1,2,3,0,2,1,2,2
1364,1,1,1,9500,1,1,2,1,19,37,4,9,3,0,0,0,1,1,0,0,0,0,3,1,2,3,0,0,3,1,2,3,0,0,2,1,2
2070,1,1,1,9670,1,1,0,1,1,37,1,10,0,1,0,0,1,0,0,0,0,0,2,1,2,2,0,0,2,3,2,1,0,0,1,3,2
424,1,17,6,9556,1,1,0,1,19,2,5,3,0,1,0,0,1,0,0,1,0,0,3,1,3,3,0,0,3,2,3,3,0,2,1,2,2
1602,1,1,2,9254,1,1,0,1,1,19,4,1,1,1,0,0,1,1,0,0,0,0,2,3,2,0,0,0,2,3,1,0,0,0,0,0,1
3351,2,44,1,9003,1,39,2,1,37,37,4,7,3,0,0,0,1,1,0,3,0,0,2,3,1,1,0,0,2,3,1,0,2,3,0,1,0
1133,1,1,1,9500,1,1,3,1,19,1,9,5,3,0,0,0,1,0,1,0,0,0,3,1,3,3,0,0,3,2,3,3,0,2,0,2,2
2387,1,1,1,171,1,1,2,1,1,38,5,7,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2
2054,1,1,2,9556,1,1,3,1,1,19,4,5,2,1,0,0,1,0,1,0,0,0,3,2,3,1,0,0,3,2,3,3,0,3,0,1,2
1878,1,1,2,171,1,1,1,1,2,19,5,5,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
1337,1,17,1,9147,1,1,3,1,37,37,9,6,3,1,0,1,0,0,1,0,0,0,1,1,1,2,0,0,1,1,1,1,0,1,1,3,1
3868,1,44,1,9003,1,39,1,1,1,19,3,10,2,1,0,0,1,1,0,0,0,0,2,2,3,1,0,0,2,3,1,2,0,2,1,2,2
3445,1,1,5,9500,1,1,1,1,19,1,9,5,1,1,0,0,1,0,1,0,0,0,3,2,3,1,0,0,3,3,3,2,0,2,1,2,2
575,2,39,1,9085,1,9,1,1,1,1,4,4,1,1,0,0,0,1,0,3,0,0,1,3,0,0,3,0,1,2,0,0,1,0,0,0,0
