Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
3313,1,1,1,9254,1,1,0,1,1,1,9,10,1,0,0,0,1,1,0,1,0,0,2,2,3,2,0,0,2,2,2,2,0,0,1,3,1
1179,1,18,1,9556,1,1,2,1,38,37,9,9,1,0,0,0,1,0,1,0,0,0,3,3,3,2,0,0,3,3,3,2,0,2,3,0,2
1075,1,1,2,9773,1,1,0,1,19,19,4,7,0,1,0,0,1,0,0,0,0,0,2,1,2,2,0,0,2,1,2,1,0,1,1,3,2
2804,1,1,1,9238,1,1,0,1,19,19,9,9,1,1,0,0,1,0,1,0,0,0,2,2,2,0,0,0,2,1,2,1,0,2,1,2,2
1066,1,1,6,9500,1,1,3,1,38,37,5,6,2,1,0,0,1,0,1,0,0,0,3,1,2,3,0,0,3,1,2,3,0,0,2,1,2
828,1,1,4,9500,1,1,3,1,19,19,4,5,3,1,0,0,1,0,0,0,0,0,3,2,3,3,0,0,3,2,3,3,0,0,0,0,2
2687,1,42,1,9119,1,1,2,1,19,19,90,90,1,0,0,1,0,1,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,2,3,0,0
2642,1,17,5,9670,1,1,1,1,3,4,2,2,1,0,0,0,1,1,0,1,0,0,2,1,1,2,0,0,2,2,0,0,0,1,1,2,0
1452,1,1,1,171,1,1,1,1,1,1,4,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
2429,1,42,1,9119,1,1,0,1,34,34,0,0,2,1,0,0,1,1,0,3,0,2,3,3,3,1,0,1,3,2,2,2,0,0,0,0,0
1872,1,51,1,9500,1,1,3,1,1,1,4,10,1,0,0,0,1,1,0,1,0,0,3,1,3,3,0,3,3,3,3,3,0,1,1,3,2
325,1,1,1,9254,1,1,0,1,19,19,5,8,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,0,1,3,1,1,0,3,0,1,2
950,1,39,1,9991,0,1,1,1,37,37,9,9,1,1,0,0,1,1,0,3,0,0,1,1,1,0,0,0,1,1,1,1,0,0,2,1,2
226,2,7,1,9147,1,3,1,1,1,4,3,10,2,0,0,0,1,0,0,3,0,0,1,1,1,0,0,0,1,1,1,3,0,2,1,2,2
3719,1,17,1,9670,1,1,3,1,19,37,5,8,2,0,0,0,1,1,0,0,0,0,2,1,3,3,0,0,2,0,0,0,0,2,3,0,0
1864,1,1,1,9130,1,1,2,1,9,19,4,4,2,0,0,0,1,1,1,3,0,0,1,2,0,0,0,0,1,1,0,0,0,0,2,1,0
3752,1,1,2,9773,1,1,1,1,1,1,9,4,2,1,0,0,1,0,0,0,0,0,2,1,3,1,0,0,2,1,2,1,0,2,3,0,2
3094,1,17,2,9254,1,1,1,1,19,19,7,7,1,1,0,0,1,0,1,0,0,0,2,2,1,0,2,0,2,1,0,0,0,2,3,0,0
4276,5,39,1,9147,1,1,1,1,1,19,4,7,0,0,0,0,0,1,0,3,0,0,1,1,1,2,0,0,1,1,0,0,0,0,1,3,0
2509,1,43,1,9070,1,1,0,1,19,38,9,7,3,0,0,0,1,1,0,3,0,3,3,3,3,3,0,3,3,3,3,3,0,3,3,0,2
1333,1,1,1,9238,1,1,0,1,19,37,7,7,0,1,0,0,1,0,0,1,0,0,2,3,1,1,0,0,2,2,1,1,0,3,0,1,1
1031,1,1,1,9853,1,1,0,1,19,37,5,7,0,0,0,0,1,0,1,0,0,0,2,3,1,1,0,0,2,2,1,0,0,3,3,0,1
2619,1,44,1,9238,1,1,2,1,1,1,5,5,3,0,0,0,1,0,1,2,0,2,2,1,2,3,0,1,2,1,2,2,0,2,0,2,2
1063,1,1,1,9500,1,1,3,1,19,1,4,4,2,0,0,0,1,0,0,0,0,0,3,2,3,3,0,0,3,2,3,3,0,0,0,0,2
2317,1,39,1,9991,0,1,1,1,3,1,3,3,1,0,0,0,1,1,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,2,3,0,0
3392,1,1,1,9070,1,1,1,1,1,1,9,9,3,0,0,0,1,0,1,2,0,0,2,2,2,2,0,0,2,1,3,2,0,3,0,1,2
742,1,17,3,9500,1,1,3,1,3,3,3,3,2,1,0,0,1,1,0,0,0,0,3,2,1,3,0,0,3,2,2,2,0,2,1,2,0
4312,1,7,1,9991,0,3,1,1,19,19,3,9,2,0,0,0,0,1,0,3,0,0,1,3,1,3,0,0,1,3,1,3,0,3,0,1,0
1254,1,43,1,9085,1,1,3,1,19,19,5,1,3,1,0,0,1,0,0,0,0,0,1,1,0,0,3,0,1,1,1,3,1,2,3,0,1
998,1,17,1,9254,1,1,0,1,1,19,3,3,0,1,0,0,1,0,0,0,0,0,2,2,2,2,0,0,2,2,2,3,0,1,1,3,2
4421,1,1,1,9500,1,1,3,1,37,37,9,9,3,1,0,0,1,0,1,3,0,0,3,2,3,3,0,0,3,3,1,3,0,2,0,2,0
1574,5,7,1,9991,0,2,0,1,37,37,6,6,1,0,0,0,1,0,0,3,0,2,3,3,3,2,0,2,3,3,2,2,0,0,1,3,2
2467,1,44,1,9003,1,39,2,1,37,37,9,1,3,0,0,0,1,1,1,1,0,0,2,3,2,3,0,0,2,3,2,2,0,3,3,0,1
3268,2,39,1,9500,1,1,1,1,37,38,9,8,1,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,2,0
1182,1,1,3,9500,1,1,1,1,19,19,5,5,0,1,0,0,1,0,0,0,0,0,3,2,3,2,0,0,3,3,2,1,0,2,1,2,2
1325,1,1,2,9500,1,1,3,1,37,37,9,9,3,1,0,0,1,0,0,0,0,0,3,1,2,3,0,0,3,1,2,3,0,0,2,1,2
2097,1,1,2,9238,1,1,0,1,38,1,7,7,0,1,0,0,1,0,0,2,0,0,2,2,2,2,0,0,2,1,2,1,0,2,1,2,2
1679,1,39,1,9500,1,1,1,1,1,37,9,9,0,0,0,0,1,1,0,3,0,0,3,3,1,1,1,0,3,3,0,0,0,3,0,1,0
2296,1,43,2,9147,1,1,1,1,1,19,3,3,0,1,0,0,1,1,0,2,0,0,1,3,0,0,0,0,1,1,1,0,1,3,0,1,0
611,2,1,1,8014,0,1,3,1,1,37,4,7,3,1,0,0,1,0,0,2,0,0,1,2,1,2,0,0,1,1,2,3,0,0,0,0,2
3873,1,1,2,9070,1,1,1,1,19,19,3,3,1,1,1,0,0,1,0,0,0,0,2,2,1,2,0,0,2,1,0,0,0,0,0,0,0
1596,1,1,2,9500,1,1,1,1,37,37,9,9,0,1,0,0,1,1,0,2,0,0,3,2,2,2,0,0,3,3,2,2,0,3,0,1,1
3,1,17,2,9773,1,1,0,1,38,37,5,3,1,1,0,0,1,0,0,1,0,0,1,2,2,3,0,0,1,3,1,2,0,0,0,0,2
1656,1,1,1,9147,1,1,1,1,3,19,1,4,1,0,0,0,1,0,0,0,0,0,1,1,2,2,0,0,1,1,2,2,0,3,0,1,2
1398,2,39,1,9556,1,19,1,1,37,38,9,9,1,0,0,0,1,0,0,3,0,0,3,3,2,1,0,0,3,2,3,2,0,2,1,2,2
2977,1,42,1,9853,1,12,1,1,1,3,3,2,2,0,0,0,1,0,0,3,0,3,3,3,3,2,3,3,3,3,3,3,0,3,0,1,0
584,1,17,1,9254,1,1,0,1,37,37,7,7,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,1,2,1,1,0,1,1,2,2
