Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
3977,1,17,2,9500,1,1,3,1,37,1,9,4,2,1,0,0,1,0,1,0,0,0,3,2,3,3,0,0,3,2,3,3,0,0,2,1,2
511,2,39,1,8014,0,1,0,1,34,34,99,99,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,1,3,0,0,0,1,1,2,0
1101,1,17,1,9130,1,1,0,1,19,19,9,9,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0
2840,1,39,1,9085,1,1,1,1,37,37,6,6,0,0,0,0,1,0,1,2,0,0,2,3,1,1,0,0,2,3,1,1,0,1,1,3,1
3250,1,7,1,9556,1,2,1,1,37,37,9,9,2,1,0,0,1,0,1,3,0,0,3,2,1,0,0,0,3,1,0,0,0,2,3,0,0
3417,1,1,1,9254,1,1,1,1,38,19,3,3,0,0,0,0,1,0,0,2,0,0,2,3,1,0,0,0,2,3,0,0,0,2,3,0,0
744,1,39,1,9773,1,12,0,1,1,1,9,9,2,1,0,0,1,1,0,3,0,0,1,1,1,2,0,0,1,1,2,3,0,0,0,0,2
1449,1,44,1,9070,1,39,2,1,1,19,4,4,3,0,0,0,1,1,0,2,0,1,3,2,2,2,0,2,3,2,3,2,0,3,0,1,2
1217,1,44,1,8014,0,39,0,1,19,37,7,6,1,1,0,0,1,0,0,2,0,2,2,1,2,2,0,1,2,1,2,2,0,2,1,2,2
3355,2,39,2,9003,1,19,1,1,38,19,4,1,0,0,0,0,0,1,0,3,0,1,3,3,1,1,3,0,3,2,0,0,0,3,3,0,0
3601,1,17,3,9773,1,1,2,1,2,1,3,3,2,1,0,0,1,1,0,0,0,0,2,2,3,2,0,0,2,2,3,2,0,3,0,1,2
1840,1,10,1,9773,1,1,3,22,38,37,0,5,3,1,0,0,1,0,0,0,1,0,2,3,0,0,1,0,2,0,0,0,0,0,0,0,0
2566,1,17,1,9500,1,1,3,1,38,1,5,4,3,0,0,0,1,0,1,0,0,0,3,1,3,3,0,0,3,2,3,3,0,2,1,2,2
2438,1,7,1,9003,1,3,1,1,1,38,9,7,2,1,0,0,0,1,0,3,0,3,3,3,3,2,3,3,3,3,3,2,1,3,3,0,0
2637,1,16,2,171,1,1,3,1,3,3,2,2,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2
3052,1,16,1,9085,1,1,2,1,37,37,9,9,1,1,0,0,1,0,1,1,0,0,2,1,3,3,0,0,2,1,3,3,0,2,0,2,2
1368,1,1,1,9147,1,1,2,1,19,19,7,3,1,1,0,0,1,1,0,2,0,0,1,2,1,0,0,0,1,3,1,1,0,2,3,0,0
3655,1,44,1,9238,1,39,2,1,1,1,3,5,3,0,0,0,1,0,1,1,0,2,2,1,3,2,0,2,2,1,3,2,0,2,0,2,2
3428,1,43,1,8014,0,1,0,1,37,37,9,9,0,0,0,0,1,0,0,3,0,0,2,1,1,2,0,0,2,1,3,3,0,2,0,2,0
2108,1,17,1,9085,1,1,2,1,2,19,2,9,2,1,0,0,1,0,0,0,0,0,1,3,1,1,0,0,1,3,1,1,2,1,1,2,1
139,1,18,1,9500,1,1,3,1,19,1,4,8,3,0,0,0,1,0,0,0,0,0,3,2,3,3,0,0,3,2,3,3,0,2,0,2,2
2350,1,18,1,9500,1,1,3,1,19,3,4,9,2,0,0,0,1,1,0,0,0,0,3,2,3,3,0,0,3,2,3,3,0,2,3,0,2
1005,1,17,1,9085,1,1,3,1,3,19,5,5,2,1,0,0,1,0,0,0,0,0,1,2,1,3,1,0,1,1,2,1,0,2,3,0,2
3540,1,17,1,9119,1,1,1,1,1,3,4,2,1,0,0,0,1,1,0,0,0,0,1,3,1,0,0,0,1,2,0,0,0,0,0,0,0
1150,1,1,1,9070,1,1,1,1,12,19,4,5,1,0,1,0,1,0,1,0,0,0,2,1,2,1,0,0,2,2,2,1,0,0,1,3,2
786,1,1,1,9070,1,1,3,1,3,3,1,2,3,1,0,0,1,0,0,0,0,0,1,1,2,3,0,0,2,1,1,3,0,2,3,0,2
3331,1,43,1,9254,1,1,0,1,12,19,9,9,1,0,0,0,0,1,0,3,0,2,3,3,2,1,0,2,3,3,2,1,0,0,2,1,0
747,1,43,1,9085,1,1,0,25,38,38,9,6,0,1,0,0,1,1,0,3,1,3,3,3,3,2,3,3,3,3,3,1,3,3,3,0,2
1001,1,1,5,9670,1,1,0,1,19,38,9,9,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,3,0
1551,1,43,1,9147,1,1,0,1,37,37,9,9,0,0,0,0,1,0,0,3,0,3,3,3,3,0,0,2,3,3,2,0,0,2,3,0,2
4386,1,17,1,9670,1,1,0,1,37,38,8,7,0,1,0,0,1,0,1,2,0,0,1,2,1,2,0,0,1,1,1,2,0,0,2,1,0
315,1,1,1,9147,1,1,3,1,1,38,4,3,3,0,0,0,1,0,0,0,0,0,1,1,1,3,0,0,1,1,1,3,0,1,1,3,2
4069,1,17,2,9238,1,1,2,1,2,3,3,3,2,1,0,0,1,0,0,0,0,0,2,2,3,1,0,0,3,3,3,1,0,0,0,0,2
3658,1,1,1,9991,0,1,3,1,19,37,5,8,3,0,0,0,1,0,1,1,0,0,1,1,2,2,0,0,1,1,2,2,0,1,1,2,2
2268,1,43,1,9500,1,1,0,1,3,4,2,4,1,0,0,0,1,1,0,0,0,0,3,3,1,2,0,0,3,3,1,0,0,3,0,1,0
3508,1,1,1,9147,1,1,1,1,19,19,9,7,1,1,0,0,1,1,1,0,0,0,1,2,1,1,0,0,1,1,1,2,0,2,1,2,1
3605,1,1,3,9773,1,1,2,1,3,1,2,4,2,1,0,0,1,1,0,1,0,0,2,1,2,2,0,0,2,3,1,2,0,3,3,0,2
1323,1,17,6,9556,1,1,0,1,38,38,5,5,0,1,0,0,1,0,1,0,0,0,3,3,2,2,0,0,3,2,2,2,0,1,1,3,2
2151,1,44,1,9085,1,39,1,1,3,1,2,9,2,1,0,0,1,0,0,2,0,1,2,3,1,1,0,1,2,3,2,2,0,2,1,2,1
143,1,1,3,9238,1,1,2,1,1,12,9,10,1,1,0,0,1,0,1,0,0,0,1,1,2,1,0,0,1,1,2,1,0,2,1,2,2
