Unnamed: 0,Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
3330,1,1,1,9238,1,1,1,1,1,19,9,9,2,0,0,0,1,1,1,1,0,0,2,3,2,1,0,0,2,2,3,1,0,3,0,1,2
2267,1,1,4,9147,1,1,0,1,3,1,3,4,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,1,2,0
2656,1,16,1,171,1,1,3,1,1,3,5,10,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
983,2,39,1,9991,0,1,1,1,38,38,9,3,3,0,0,0,1,1,0,3,0,0,1,3,1,1,0,0,1,3,1,1,0,2,0,2,1
814,1,1,1,9853,1,1,3,1,19,3,4,4,3,0,0,0,1,0,0,0,0,0,3,1,3,3,0,0,3,1,3,3,0,1,1,3,2
3594,1,1,1,9130,1,1,1,1,2,3,9,1,0,0,0,0,1,1,0,0,0,0,1,3,1,1,3,0,1,2,2,1,3,0,0,0,1
2051,1,17,1,9238,1,1,1,1,38,38,7,7,1,1,0,0,1,0,1,0,0,0,2,1,2,1,0,0,2,1,2,2,0,3,3,0,2
1357,1,39,1,9254,1,19,1,1,19,1,9,5,0,0,0,1,0,1,0,3,0,0,1,3,0,0,0,0,1,1,0,0,0,3,3,0,0
2255,1,39,1,9254,1,1,1,1,37,37,9,6,1,0,0,0,1,1,0,3,0,0,2,2,2,3,0,0,2,3,2,3,0,3,0,1,0
3511,1,44,1,9130,1,39,2,1,1,19,4,7,3,0,0,0,1,1,0,1,0,1,2,3,2,2,0,1,2,3,1,3,0,2,0,2,1
1120,1,39,1,9238,1,1,3,1,38,19,9,9,3,1,0,0,1,0,0,2,0,0,2,2,1,3,0,0,2,3,2,3,0,0,0,0,1
2873,5,42,1,9254,1,2,0,1,37,37,4,9,1,0,0,0,1,0,0,3,0,3,3,3,3,2,0,3,3,3,3,2,0,1,1,2,2
3898,2,39,1,9254,1,1,1,1,37,37,4,7,1,1,0,0,1,0,0,3,0,0,2,2,2,2,0,0,2,2,2,2,0,0,0,0,2
3309,2,39,1,9500,1,1,2,1,19,19,9,7,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,2,3,0,0
